Term of Loan in Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
11/10/2008,6,5.78,5.77,5.77,6.44,6.44,6.88,6.88,7.57,7.57,7.57,7.57,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27
11/17/2008,6.27,5.78,5.98,5.98,6.23,6.23,6.75,6.75,7.47,7.47,7.47,7.47,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21
11/24/2008,6.23,5.75,5.8,5.8,6.12,6.12,6.62,6.62,7.33,7.33,7.33,7.33,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11
12/1/2008,6.12,5.79,5.84,5.84,6.11,6.11,6.48,6.48,7.05,7.05,7.05,7.05,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04
12/8/2008,5.96,5.61,5.71,5.71,6.02,6.02,6.38,6.38,6.95,6.95,6.95,6.95,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59
12/15/2008,5.84,5.86,5.93,5.93,6.07,6.07,6.42,6.42,7.01,7.01,7.01,7.01,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53
12/22/2008,5.88,5.6,5.7,5.7,5.85,5.85,6.18,6.18,6.7,6.7,6.7,6.7,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25
12/29/2008,6.08,5.89,5.81,5.81,5.74,5.74,5.96,5.96,6.31,6.31,6.31,6.31,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21
1/5/2009,5.79,5.74,5.66,5.66,5.86,5.86,6.08,6.08,6.4,6.4,6.4,6.4,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16
1/12/2009,5.89,5.73,5.68,5.68,5.78,5.78,6.08,6.08,6.49,6.49,6.49,6.49,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06
1/19/2009,5.83,5.53,5.61,5.61,5.5,5.5,5.78,5.78,6.26,6.26,6.26,6.26,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02
1/26/2009,6.23,5.74,5.66,5.66,5.49,5.49,5.8,5.8,6.31,6.31,6.31,6.31,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18
2/2/2009,6.03,5.69,5.62,5.62,5.52,5.52,5.86,5.86,6.42,6.42,6.42,6.42,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16
2/9/2009,5.86,5.58,5.66,5.66,5.51,5.51,5.84,5.84,6.41,6.41,6.41,6.41,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32
2/16/2009,5.88,5.56,5.64,5.64,5.48,5.48,5.83,5.83,6.43,6.43,6.43,6.43,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22
2/23/2009,5.74,5.37,5.42,5.42,5.29,5.29,5.61,5.61,6.13,6.13,6.13,6.13,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
3/2/2009,5.94,5.47,5.48,5.48,5.35,5.35,5.64,5.64,6.13,6.13,6.13,6.13,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13
3/9/2009,5.8,5.33,5.41,5.41,5.33,5.33,5.96,5.96,6.26,6.26,6.26,6.26,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21
3/16/2009,5.74,5.33,5.4,5.4,5.24,5.24,5.79,5.79,6.11,6.11,6.11,6.11,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09
3/23/2009,6.22,5.63,5.51,5.51,5.27,5.27,5.8,5.8,6.15,6.15,6.15,6.15,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04
3/30/2009,5.98,5.52,5.48,5.48,5.25,5.25,5.69,5.69,6.1,6.1,6.1,6.1,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91
4/6/2009,5.88,5.36,5.35,5.35,5.21,5.21,5.73,5.73,6.11,6.11,6.11,6.11,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84
4/13/2009,5.77,5.46,5.4,5.4,5.22,5.22,5.77,5.77,6.13,6.13,6.13,6.13,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93
4/20/2009,6.22,5.62,5.45,5.45,5.13,5.13,5.65,5.65,6.1,6.1,6.1,6.1,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87
4/27/2009,5.57,5.41,5.29,5.29,5.1,5.1,5.61,5.61,6.04,6.04,6.04,6.04,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86
5/4/2009,6.08,5.54,5.4,5.4,5.05,5.05,5.61,5.61,6.02,6.02,6.02,6.02,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84
5/11/2009,5.91,5.46,5.39,5.39,5.15,5.15,5.73,5.73,6.17,6.17,6.17,6.17,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
5/18/2009,5.83,5.33,5.23,5.23,5.07,5.07,5.64,5.64,6.09,6.09,6.09,6.09,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91
5/25/2009,5.95,5.43,5.28,5.28,5.04,5.04,5.62,5.62,6.05,6.05,6.05,6.05,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88
6/1/2009,5.81,5.31,5.2,5.2,5.07,5.07,5.77,5.77,6.19,6.19,6.19,6.19,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97
6/8/2009,5.94,5.39,5.25,5.25,5.1,5.1,5.76,5.76,6.12,6.12,6.12,6.12,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35
6/15/2009,6.35,5.98,5.81,5.81,5.42,5.42,6.01,6.01,6.31,6.31,6.31,6.31,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65
6/22/2009,6.08,5.72,5.55,5.55,5.22,5.22,5.79,5.79,6.09,6.09,6.09,6.09,5,5,5,5,5,5,5,5,5,5,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44
6/29/2009,6.24,5.75,5.59,5.59,5.28,5.28,5.83,5.83,6.12,6.12,6.12,6.12,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48
7/6/2009,6.07,5.57,5.46,5.46,5.17,5.17,5.75,5.75,6.04,6.04,6.04,6.04,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38
7/13/2009,5.95,5.43,5.3,5.3,5.07,5.07,5.7,5.7,6.06,6.06,6.06,6.06,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26
7/20/2009,5.7,5.38,5.26,5.26,5.12,5.12,5.71,5.71,6.1,6.1,6.1,6.1,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
7/27/2009,5.9,5.38,5.28,5.28,5.03,5.03,5.62,5.62,6.04,6.04,6.04,6.04,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26
8/3/2009,5.74,5.37,5.28,5.28,5,5,5.59,5.59,5.95,5.95,5.95,5.95,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31
8/10/2009,5.72,5.43,5.32,5.32,4.98,4.98,5.56,5.56,5.89,5.89,5.89,5.89,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27
8/17/2009,5.47,5.39,5.25,5.25,5,5,5.58,5.58,5.91,5.91,5.91,5.91,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35
8/24/2009,5.63,5.25,5.13,5.13,4.82,4.82,5.4,5.4,5.73,5.73,5.73,5.73,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18
8/31/2009,5.81,5.37,5.19,5.19,4.92,4.92,5.48,5.48,5.78,5.78,5.78,5.78,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
9/7/2009,5.74,5.24,5.07,5.07,4.84,4.84,5.42,5.42,5.75,5.75,5.75,5.75,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14
9/14/2009,5.76,5.23,5.07,5.07,4.72,4.72,5.35,5.35,5.72,5.72,5.72,5.72,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13
9/21/2009,5.52,5.13,4.98,4.98,4.72,4.72,5.31,5.31,5.67,5.67,5.67,5.67,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
9/28/2009,5.64,5.19,5.02,5.02,4.72,4.72,5.3,5.3,5.64,5.64,5.64,5.64,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09
10/5/2009,5.43,5.06,4.96,4.96,4.67,4.67,5.21,5.21,5.53,5.53,5.53,5.53,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10/12/2009,5.47,5.04,4.88,4.88,4.56,4.56,5.1,5.1,5.49,5.49,5.49,5.49,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93
10/19/2009,5.54,5.13,5.01,5.01,4.63,4.63,5.2,5.2,5.59,5.59,5.59,5.59,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98
10/26/2009,5.66,5.2,4.98,4.98,4.65,4.65,5.2,5.2,5.57,5.57,5.57,5.57,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06
11/2/2009,5.69,5.21,5.01,5.01,4.67,4.67,5.24,5.24,5.62,5.62,5.62,5.62,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09
11/9/2009,5.41,4.98,4.9,4.9,4.6,4.6,5.22,5.22,5.63,5.63,5.63,5.63,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04
11/16/2009,5.58,5.04,4.85,4.85,4.54,4.54,5.17,5.17,5.62,5.62,5.62,5.62,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97
11/23/2009,5.47,4.91,4.73,4.73,4.5,4.5,5.11,5.11,5.52,5.52,5.52,5.52,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89
11/30/2009,5.66,4.99,4.76,4.76,4.43,4.43,5.04,5.04,5.48,5.48,5.48,5.48,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84
12/7/2009,5.37,4.8,4.62,4.62,4.44,4.44,5.07,5.07,5.55,5.55,5.55,5.55,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77
12/14/2009,5.55,4.93,4.65,4.65,4.47,4.47,5.15,5.15,5.65,5.65,5.65,5.65,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87
12/21/2009,5.28,4.83,4.76,4.76,4.62,4.62,5.29,5.29,5.76,5.76,5.76,5.76,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12/28/2009,5.5,4.98,4.82,4.82,4.65,4.65,5.33,5.33,5.79,5.79,5.79,5.79,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11
1/4/2010,5.45,5.04,4.89,4.89,4.69,4.69,5.34,5.34,5.77,5.77,5.77,5.77,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
1/11/2010,5.43,5.01,4.88,4.88,4.69,4.69,5.34,5.34,5.79,5.79,5.79,5.79,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
1/18/2010,5.33,4.92,4.84,4.84,4.57,4.57,5.23,5.23,5.71,5.71,5.71,5.71,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12
1/25/2010,5.44,4.97,4.77,4.77,4.52,4.52,5.16,5.16,5.64,5.64,5.64,5.64,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05
2/1/2010,5.23,4.81,4.73,4.73,4.5,4.5,5.15,5.15,5.64,5.64,5.64,5.64,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03
2/8/2010,5.16,4.74,4.71,4.71,4.52,4.52,5.2,5.2,5.71,5.71,5.71,5.71,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07
2/15/2010,5.45,4.89,4.7,4.7,4.44,4.44,5.13,5.13,5.67,5.67,5.67,5.67,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03
